date,/m/0jgxn,isPartial
2017-12-31,15,False
2018-01-07,16,False
2018-01-14,15,False
2018-01-21,16,False
2018-01-28,17,False
2018-02-04,14,False
2018-02-11,20,False
2018-02-18,24,False
2018-02-25,36,False
2018-03-04,32,False
2018-03-11,35,False
2018-03-18,38,False
2018-03-25,44,False
2018-04-01,36,False
2018-04-08,34,False
2018-04-15,50,False
2018-04-22,50,False
2018-04-29,38,False
2018-05-06,59,False
2018-05-13,62,False
2018-05-20,39,False
2018-05-27,59,False
2018-06-03,51,False
2018-06-10,61,False
2018-06-17,62,False
2018-06-24,37,False
2018-07-01,48,False
2018-07-08,57,False
2018-07-15,53,False
2018-07-22,43,False
2018-07-29,40,False
2018-08-05,51,False
2018-08-12,44,False
2018-08-19,37,False
2018-08-26,51,False
2018-09-02,63,False
2018-09-09,46,False
2018-09-16,37,False
2018-09-23,55,False
2018-09-30,65,False
2018-10-07,79,False
2018-10-14,61,False
2018-10-21,63,False
2018-10-28,67,False
2018-11-04,94,False
2018-11-11,98,False
2018-11-18,84,False
2018-11-25,100,False
2018-12-02,90,False
2018-12-09,74,False
2018-12-16,92,False
2018-12-23,66,False
2018-12-30,76,False
