geoName;coordinates;cansancio;pérdida de apetito;Pérdida de libido;Ataque de pánico;culpa;Fecha
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;12/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;13/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;14/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;15/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;19/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;20/01/2021
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;21/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;21/01/2021
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;22/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;22/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;23/01/2021
Calamocha;{'lat': 40.9173028, 'lng': -1.299939};0;0;0;0;0;24/01/2021
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;25/01/2021
Calamocha;{'lat': 40.9173028, 'lng': -1.299939};0;0;0;0;0;25/01/2021
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;25/01/2021
Alagón;{'lat': 41.7689166, 'lng': -1.1173154};0;0;0;0;0;26/01/2021
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;26/01/2021
Teruel;{'lat': 40.3456879, 'lng': -1.1064345};0;0;0;0;0;26/01/2021
Calatayud;{'lat': 41.3531678, 'lng': -1.6468455};0;0;0;0;0;27/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;28/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;29/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;30/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;31/01/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;01/02/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;0;02/02/2021
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;03/02/2021
Huesca;{'lat': 42.131845, 'lng': -0.4078058};0;0;0;0;0;04/02/2021
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;04/02/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};100;0;0;0;0;04/02/2021
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;05/02/2021
Utebo;{'lat': 41.7087277, 'lng': -0.9986738};0;0;0;0;0;05/02/2021
Zaragoza;{'lat': 41.6488226, 'lng': -0.8890853};0;0;0;0;100;05/02/2021
Cariñena;{'lat': 41.3370805, 'lng': -1.2241497};0;0;0;0;0;06/02/2021
