date,/m/0jgxn,isPartial
2023-01-01,80,False
2023-01-08,97,False
2023-01-15,89,False
2023-01-22,100,False
2023-01-29,87,False
2023-02-05,77,False
2023-02-12,87,False
2023-02-19,91,False
2023-02-26,81,False
2023-03-05,90,False
2023-03-12,91,False
2023-03-19,84,False
2023-03-26,89,False
2023-04-02,83,False
2023-04-09,62,False
2023-04-16,84,False
2023-04-23,94,False
2023-04-30,81,False
2023-05-07,88,False
2023-05-14,78,False
2023-05-21,79,False
2023-05-28,74,False
2023-06-04,73,False
2023-06-11,74,False
2023-06-18,74,False
2023-06-25,65,False
2023-07-02,72,False
2023-07-09,76,False
2023-07-16,61,False
2023-07-23,66,False
2023-07-30,67,False
2023-08-06,77,False
2023-08-13,70,False
2023-08-20,78,False
2023-08-27,80,False
2023-09-03,89,False
2023-09-10,88,False
2023-09-17,82,False
2023-09-24,86,False
2023-10-01,81,False
2023-10-08,86,False
2023-10-15,84,False
2023-10-22,92,False
2023-10-29,94,False
2023-11-05,96,False
2023-11-12,96,False
2023-11-19,87,False
2023-11-26,87,False
2023-12-03,89,False
2023-12-10,83,False
2023-12-17,60,False
2023-12-24,59,False
2023-12-31,72,False
