date,/m/06796,isPartial
2014-12-28,71,False
2015-01-04,80,False
2015-01-11,89,False
2015-01-18,94,False
2015-01-25,86,False
2015-02-01,82,False
2015-02-08,88,False
2015-02-15,72,False
2015-02-22,81,False
2015-03-01,77,False
2015-03-08,85,False
2015-03-15,73,False
2015-03-22,75,False
2015-03-29,74,False
2015-04-05,60,False
2015-04-12,73,False
2015-04-19,99,False
2015-04-26,81,False
2015-05-03,59,False
2015-05-10,69,False
2015-05-17,75,False
2015-05-24,71,False
2015-05-31,67,False
2015-06-07,73,False
2015-06-14,76,False
2015-06-21,68,False
2015-06-28,47,False
2015-07-05,43,False
2015-07-12,56,False
2015-07-19,62,False
2015-07-26,48,False
2015-08-02,72,False
2015-08-09,93,False
2015-08-16,61,False
2015-08-23,44,False
2015-08-30,66,False
2015-09-06,73,False
2015-09-13,61,False
2015-09-20,75,False
2015-09-27,77,False
2015-10-04,72,False
2015-10-11,77,False
2015-10-18,91,False
2015-10-25,76,False
2015-11-01,84,False
2015-11-08,97,False
2015-11-15,97,False
2015-11-22,90,False
2015-11-29,61,False
2015-12-06,66,False
2015-12-13,100,False
2015-12-20,43,False
2015-12-27,58,False
