date,/m/0jgxn,isPartial
2014-12-28,0,False
2015-01-04,49,False
2015-01-11,59,False
2015-01-18,60,False
2015-01-25,51,False
2015-02-01,49,False
2015-02-08,92,False
2015-02-15,67,False
2015-02-22,59,False
2015-03-01,78,False
2015-03-08,69,False
2015-03-15,0,False
2015-03-22,75,False
2015-03-29,69,False
2015-04-05,0,False
2015-04-12,92,False
2015-04-19,93,False
2015-04-26,51,False
2015-05-03,62,False
2015-05-10,87,False
2015-05-17,51,False
2015-05-24,73,False
2015-05-31,64,False
2015-06-07,65,False
2015-06-14,69,False
2015-06-21,0,False
2015-06-28,77,False
2015-07-05,44,False
2015-07-12,0,False
2015-07-19,53,False
2015-07-26,42,False
2015-08-02,50,False
2015-08-09,46,False
2015-08-16,51,False
2015-08-23,96,False
2015-08-30,56,False
2015-09-06,90,False
2015-09-13,46,False
2015-09-20,70,False
2015-09-27,73,False
2015-10-04,100,False
2015-10-11,58,False
2015-10-18,52,False
2015-10-25,62,False
2015-11-01,75,False
2015-11-08,60,False
2015-11-15,72,False
2015-11-22,53,False
2015-11-29,72,False
2015-12-06,53,False
2015-12-13,60,False
2015-12-20,0,False
2015-12-27,0,False
