date,/m/0k_9,isPartial
2021-12-26,74,False
2022-01-02,81,False
2022-01-09,65,False
2022-01-16,88,False
2022-01-23,96,False
2022-01-30,84,False
2022-02-06,60,False
2022-02-13,72,False
2022-02-20,89,False
2022-02-27,100,False
2022-03-06,95,False
2022-03-13,79,False
2022-03-20,70,False
2022-03-27,81,False
2022-04-03,85,False
2022-04-10,90,False
2022-04-17,91,False
2022-04-24,87,False
2022-05-01,94,False
2022-05-08,82,False
2022-05-15,78,False
2022-05-22,84,False
2022-05-29,67,False
2022-06-05,72,False
2022-06-12,63,False
2022-06-19,71,False
2022-06-26,58,False
2022-07-03,57,False
2022-07-10,69,False
2022-07-17,63,False
2022-07-24,84,False
2022-07-31,71,False
2022-08-07,87,False
2022-08-14,74,False
2022-08-21,80,False
2022-08-28,83,False
2022-09-04,85,False
2022-09-11,75,False
2022-09-18,85,False
2022-09-25,77,False
2022-10-02,69,False
2022-10-09,87,False
2022-10-16,85,False
2022-10-23,89,False
2022-10-30,81,False
2022-11-06,73,False
2022-11-13,96,False
2022-11-20,72,False
2022-11-27,78,False
2022-12-04,81,False
2022-12-11,70,False
2022-12-18,91,False
2022-12-25,93,False
